score,members,episodes,genre_count,prediction
6.66,123730,12,4,1
7.58,113749,13,1,2
7.55,111885,13,2,1
6.98,110876,12,3,1
7.54,106884,12,2,1
7.18,106382,12,1,2
6.73,105726,12,2,1
6.82,104465,12,2,1
6.58,102536,12,2,1
6.6,98636,12,3,1
6.33,98022,12,3,1
6.28,97606,12,3,1
6.61,97589,12,2,1
6.86,92317,12,1,2
7.15,84522,12,1,2
5.77,81002,12,3,1
7.89,80657,12,1,2
7.39,80409,12,2,1
6.36,77526,13,1,2
7.3,76385,12,2,1
6.98,72342,12,2,1
6.08,70347,12,2,1
8.0,67148,12,2,1
7.41,65834,12,2,1
7.41,65834,12,2,1
8.38,65477,13,2,1
6.5,63071,12,3,1
6.83,62192,12,1,2
7.11,60912,12,2,1
7.48,59623,12,2,1
6.29,59088,12,3,1
7.34,55681,12,2,1
6.81,54914,12,4,1
7.11,52670,12,3,1
6.9,52619,12,3,1
7.68,51312,13,1,2
8.27,50267,13,3,1
6.12,47338,24,3,3
7.41,45229,12,2,1
7.35,41118,12,3,1
5.66,40778,12,4,1
6.57,39759,12,3,1
6.57,39759,12,3,1
7.21,38186,12,3,1
7.4,37356,12,1,2
7.99,36938,12,1,2
7.99,36938,12,1,2
7.13,36521,12,1,2
6.09,36074,13,2,1
7.64,35655,12,1,2
7.64,35655,12,1,2
7.64,35655,12,1,2
6.09,32804,12,2,2
5.65,32727,12,2,2
7.64,32315,12,1,2
6.4,32102,13,1,2
7.18,31775,12,2,1
6.89,30241,12,2,1
8.36,30079,13,2,1
8.36,30079,13,2,1
7.67,29814,12,1,2
7.2,29441,12,2,1
8.08,27717,13,1,2
5.61,25491,12,3,1
6.49,24030,12,2,1
5.5,23990,12,1,2
6.82,23288,12,3,1
5.92,23062,13,3,1
6.0,19538,8,2,2
7.14,19413,12,1,2
6.22,18210,10,3,1
6.22,18210,10,3,1
6.57,17748,12,3,1
5.65,15385,12,3,1
6.35,13084,12,2,1
6.36,10010,12,2,1
6.36,10010,12,2,1
5.28,8997,12,1,2
5.39,5144,13,-1,2
5.44,4913,12,2,2
7.17,4891,12,1,2
5.35,4397,5,1,2
6.74,4353,12,1,2
5.64,3956,12,2,2
5.64,3956,12,2,2
5.8,3761,13,3,1
5.85,3543,12,2,2
6.88,3131,11,2,1
6.88,3131,11,2,1
7.12,2291,13,1,2
6.63,2020,6,2,2
6.63,2020,6,2,2
6.1,1499,24,4,3
6.19,1435,12,1,2
6.77,27646,4,2,2
6.01,19329,3,2,2
8.32,24768,12,2,1
8.31,17422,12,2,1
